General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALB01ROS1,Canada,GMT-6,334892.4823,5934090.42,12U,,,9/5/2018,12:54:09,Mammalia,Carnivora,Felidae,Felis,catus,1,8/1/2018,9/26/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALB01ROS1,Canada,GMT-6,334892.4823,5934090.42,12U,,,9/5/2018,12:54:10,Mammalia,Carnivora,Felidae,Felis,catus,1,8/1/2018,9/26/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/1/2020,18:22:22,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/1/2020,18:22:24,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,3/1/2020,18:22:25,Mammalia,Carnivora,Felidae,Felis,catus,1,12/28/2019,4/4/2020,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,11/10/2018,15:38:38,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2018,12/29/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,11/10/2018,15:38:40,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2018,12/29/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,,,11/10/2018,15:38:40,Mammalia,Carnivora,Felidae,Felis,catus,1,9/28/2018,12/29/2018,RECONYX,PC900 PROFESSIONAL,No,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 3,Season Fall 3,10/25/2020,4:31:57,Mammalia,Carnivora,Felidae,Felis,catus,1,8/5/2020,11/13/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALD02HUS1,Canada,GMT-6,327642.96,5941822.19,12U,UWIN Season Fall 3,Season Fall 3,10/25/2020,4:31:59,Mammalia,Carnivora,Felidae,Felis,catus,1,8/5/2020,11/13/2020,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
