system:index,city,mean,site,unique_id,.geo
00000000000000000447,ctsa,0.8323020725991409,t4s09,1096,"{""type"":""Polygon"",""coordinates"":[[[18.51148981776995,-33.811762070976286],[18.50846465938383,-33.81212018891083],[18.505680232572892,-33.813166045108964],[18.503358128835302,-33.81481641248694],[18.501683176158064,-33.81693995216329],[18.500788730294712,-33.81936765856222],[18.500746050446185,-33.821906303463464],[18.50155860790447,-33.82435381159574],[18.503161786653028,-33.82651534555522],[18.50542800695964,-33.82821881977714],[18.508176870321353,-33.829328607116885],[18.511189521477444,-33.829756344321915],[18.51422608356346,-33.829467973296346],[18.517044774111678,-33.8284864553148],[18.519421173453942,-33.826889941137594],[18.52116610472777,-33.824805543363354],[18.522140697178575,-33.82239920887883],[18.522267432217472,-33.81986250049082],[18.521536295489128,-33.81739734273029],[18.520005550997194,-33.81519994786988],[18.51779708285062,-33.813445201887866],[18.51508668180114,-33.81227275186156],[18.512090053340614,-33.81177589963824],[18.51148981776995,-33.811762070976286]]]}"
00000000000000000448,ctsa,0.7201690005732105,t4s10,1097,"{""type"":""Polygon"",""coordinates"":[[[18.520871766386406,-33.80240241786511],[18.51784693889986,-33.8027605358127],[18.515062816681755,-33.8038063920459],[18.512740967007257,-33.805456759470026],[18.511066197645277,-33.8075802991892],[18.51017184974379,-33.81000800561427],[18.510129174677616,-33.81254665051681],[18.510941643323843,-33.81499415862514],[18.512544646705962,-33.8171556925429],[18.51481061903552,-33.81885916671834],[18.517559181551942,-33.819968954021356],[18.52057150296296,-33.820396691210874],[18.52360773268412,-33.82010832019585],[18.52642611473731,-33.8191268022476],[18.52880225403462,-33.817530288116096],[18.530546994420266,-33.81544589038565],[18.531521480322457,-33.81303955592934],[18.531648201606277,-33.810502847545216],[18.530917144977195,-33.808037689762976],[18.52938656803264,-33.80584029486207],[18.527178341527755,-33.804085548833406],[18.524468236981132,-33.80291309876883],[18.52147193630263,-33.80241624652758],[18.520871766386406,-33.80240241786511]]]}"
00000000000000000449,ctsa,0.7158551853053036,t4s11,1098,"{""type"":""Polygon"",""coordinates"":[[[18.525121289690333,-33.79365366159824],[18.5220967713674,-33.79401177955803],[18.51931293373418,-33.795057635823994],[18.51699132143402,-33.79670800329124],[18.51531672334577,-33.79883154305044],[18.51442246697129,-33.80125924949995],[18.514379796373323,-33.80379789440371],[18.51519218204133,-33.80624540248966],[18.516795021576392,-33.80840693636843],[18.519060762217887,-33.81011041050043],[18.521809043650794,-33.81122019776911],[18.52482105697685,-33.811647934944126],[18.527856976165367,-33.81135956393896],[18.530675069987804,-33.810378046021846],[18.533050966321845,-33.80878153193302],[18.53479552835828,-33.8066971342435],[18.535769914710766,-33.8042907998136],[18.535896623143064,-33.801754091433075],[18.53516564135172,-33.799288933630564],[18.533635220948785,-33.79709153869181],[18.531427220212755,-33.79533679261953],[18.52871739269245,-33.7941643425192],[18.525721398264782,-33.79366749026119],[18.525121289690333,-33.79365366159824]]]}"
0000000000000000044a,ctsa,0.7189604669685681,t4s12,1099,"{""type"":""Polygon"",""coordinates"":[[[18.539715927438262,-33.78198419414137],[18.536691821282965,-33.78234231211742],[18.53390836304976,-33.78338816842708],[18.531587067209923,-33.785038535951834],[18.529912697458684,-33.7871620757644],[18.529018563105254,-33.789589782246495],[18.52897589846418,-33.79212842715188],[18.529788173508123,-33.794575935207995],[18.531390794607212,-33.79673746903476],[18.533656226369136,-33.79844094310883],[18.53640413306994,-33.79955073033174],[18.53941573566638,-33.79997846748741],[18.542451240862096,-33.79969009649538],[18.545268950423953,-33.798708578619795],[18.54764452284666,-33.79711206458789],[18.549388847113285,-33.79502766695295],[18.5503631007491,-33.792621332558234],[18.55048979204812,-33.79008462418254],[18.549758910028213,-33.78761946635298],[18.548228698321857,-33.78542207136376],[18.546020998574082,-33.78366732523332],[18.543311540376955,-33.782494875085305],[18.540315954233698,-33.78199802280497],[18.539715927438262,-33.78198419414137]]]}"
0000000000000000044b,deio,0.5129562305055657,DEIO01,1100,"{""type"":""Polygon"",""coordinates"":[[[-93.66451456648981,41.6857460705265],[-93.66788022971501,41.68538786657126],[-93.67097788107385,41.684341779156334],[-93.67356087525128,41.68269110752283],[-93.67542358900796,41.68056728550227],[-93.67641779405508,41.67813940678085],[-93.67646444236232,41.67560075335324],[-93.67555993006498,41.67315340314923],[-93.67377635020966,41.670992144287574],[-93.6712557248685,41.66928897648573],[-93.66819868487364,41.668179431268435],[-93.66484850302973,41.66775179633363],[-93.66147175068348,41.668040097863894],[-93.65833711081079,41.66902139627052],[-93.65569402407242,41.67061760931167],[-93.65375285725732,41.672701718359455],[-93.65266816524574,41.675107866626945],[-93.65252637660001,41.67764454941998],[-93.65333888669231,41.6801098501971],[-93.65504111662182,41.6823075120569],[-93.65749762344304,41.68406256569972],[-93.66051286438021,41.685235268035825],[-93.66384676352823,41.68573223847802],[-93.66451456648981,41.6857460705265]]]}"
0000000000000000044c,deio,0.47928852168728736,DEIO02,1101,"{""type"":""Polygon"",""coordinates"":[[[-93.65488290821439,41.66859636787495],[-93.65824767472391,41.6682381639493],[-93.66134450083696,41.667192076613865],[-93.66392680699079,41.66554140508498],[-93.66578902472743,41.66341758316148],[-93.66678296520328,41.66098970449928],[-93.66682960136909,41.658451051074586],[-93.66592533023162,41.65600370081626],[-93.66414222555962,41.65384244186003],[-93.66162227155795,41.65213927395284],[-93.65856604562971,41.651029728652325],[-93.65521675583851,41.65060209368237],[-93.65184090261323,41.650890395236516],[-93.64870709745229,41.651871693718626],[-93.64606471463996,41.65346790686329],[-93.64412406495259,41.655552016010326],[-93.64303966207413,41.657958164341856],[-93.64289791147621,41.660494847143724],[-93.64371020540773,41.66296014787169],[-93.64541198209011,41.6651578096397],[-93.64786783460886,41.666912863176734],[-93.65088227227494,41.66808556542609],[-93.65421528317808,41.668582535827625],[-93.65488290821439,41.66859636787495]]]}"
0000000000000000044d,deio,0.6898813883560105,DEIO03,1102,"{""type"":""Polygon"",""coordinates"":[[[-93.67758865077852,41.65693581862018],[-93.68095280803163,41.656577614714635],[-93.68404907344707,41.65553152743324],[-93.68663091213631,41.65388085597545],[-93.68849279286155,41.65175703411792],[-93.68948655357944,41.64932915549598],[-93.68953318149593,41.64679050207326],[-93.68862907420994,41.64434315177802],[-93.6868462923922,41.642181892757506],[-93.68432679451946,41.64047872477873],[-93.68127112169337,41.63936917942165],[-93.67792243799049,41.638941544427816],[-93.67454719565595,41.63922984599818],[-93.67141395762408,41.640211144531584],[-93.66877205308099,41.6418073577466],[-93.66683175474627,41.6438914669611],[-93.66574754831376,41.64629761533616],[-93.66560582356666,41.64883429814402],[-93.66641797063183,41.65129959883859],[-93.668119439364,41.65349726054421],[-93.67057484732936,41.65525231400936],[-93.67358873922815,41.65642501619975],[-93.67692114663018,41.65692198657365],[-93.67758865077852,41.65693581862018]]]}"
0000000000000000044e,deio,0.5971179801182679,DEIO04,1103,"{""type"":""Polygon"",""coordinates"":[[[-93.65506127225652,41.65679758648753],[-93.65842542228926,41.65643938258222],[-93.6615216810598,41.655393295301465],[-93.66410351420905,41.65374262384452],[-93.66596539094031,41.65161880198778],[-93.66695914952786,41.649190923366305],[-93.6670057773466,41.6466522699436],[-93.66610167200243,41.644204919647926],[-93.66431889401088,41.64204366062664],[-93.66179940154379,41.640340492647034],[-93.6587437352726,41.639230947289285],[-93.65539505875255,41.63880331229516],[-93.65201982365775,41.63909161386573],[-93.64888659234704,41.64007291239973],[-93.64624469347196,41.641669125615586],[-93.64430439930116,41.64375323483088],[-93.64322019519679,41.64615938320645],[-93.64307847075604,41.64869606601439],[-93.64389061608065,41.65116136670856],[-93.64559208116327,41.653359028413455],[-93.64804748386018,41.65511408187774],[-93.65106136929099,41.656286784067426],[-93.65439376954085,41.65678375444101],[-93.65506127225652,41.65679758648753]]]}"
0000000000000000044f,deio,0.6899114390869281,DEIO05,1104,"{""type"":""Polygon"",""coordinates"":[[[-93.65047285727253,41.64574347497604],[-93.65383643007117,41.64538527108978],[-93.65693215761421,41.64433918386023],[-93.65951354786866,41.64268851247066],[-93.6613751053017,41.64056469067644],[-93.66236869357928,41.638136812093116],[-93.66241531358229,41.63559815867228],[-93.66151136347757,41.63315080834162],[-93.65972889137119,41.63098954925943],[-93.65720983105902,41.62928638121197],[-93.65415468881912,41.628176835800616],[-93.65080658653163,41.62774920078386],[-93.6474319302194,41.628037502369814],[-93.64429923622966,41.62901880095243],[-93.64165779048614,41.63061501423495],[-93.63971782920099,41.632699123514186],[-93.63863381121743,41.635105271930996],[-93.63849211126877,41.63764195474461],[-93.63930411744627,41.64010725540712],[-93.64100529076443,41.6423049170529],[-93.64346027227351,41.644059970449064],[-93.64647364062239,41.64523267258287],[-93.64980546909096,41.64572964293027],[-93.65047285727253,41.64574347497604]]]}"
00000000000000000450,deio,0.7035598158105916,DEIO06,1105,"{""type"":""Polygon"",""coordinates"":[[[-93.66082688991862,41.633436356068515],[-93.66418982043268,41.63307815220347],[-93.66728495688234,41.6320320650309],[-93.66986585433065,41.63038139371633],[-93.67172705648262,41.628257571991675],[-93.67272045525742,41.6258296934508],[-93.67276706656385,41.62329104003205],[-93.67186328919308,41.620843689662465],[-93.67008115744311,41.61868243051248],[-93.66756257798691,41.61697926238951],[-93.66450801883323,41.61586971691851],[-93.66116055549058,41.61544208187654],[-93.65778654318595,41.615730383479615],[-93.6546544470698,41.61671168211633],[-93.6520135055228,41.61830789547306],[-93.65007391463736,41.62039200482344],[-93.6489901037492,41.622798153286155],[-93.64884843105271,41.62533483610609],[-93.64966028240205,41.627800136733384],[-93.65136113107582,41.62999779831337],[-93.65381564393195,41.631752851633706],[-93.65682843692714,41.63292555370532],[-93.66015962917844,41.63342252402359],[-93.66082688991862,41.633436356068515]]]}"
00000000000000000451,deio,0.6683584430723479,DEIO07,1106,"{""type"":""Polygon"",""coordinates"":[[[-93.63334099102518,41.633320419441134],[-93.63670391549064,41.632962215576285],[-93.63979904637378,41.63191612840426],[-93.64237993918118,41.63026545709039],[-93.64424113798735,41.62814163536639],[-93.64523453497753,41.62571375682592],[-93.64528114620207,41.623175103407185],[-93.64437737045799,41.62072775303724],[-93.64259524191326,41.618566493886604],[-93.64007666698544,41.616863325762935],[-93.63702211332289,41.615753780291364],[-93.63367465599738,41.61532614524917],[-93.63030064975757,41.61561444685241],[-93.62716855927181,41.616595745489626],[-93.62452762247298,41.61819195884705],[-93.62258803507571,41.6202760681981],[-93.62150422613784,41.62268221666125],[-93.62136255369799,41.62521889948124],[-93.62217440358927,41.627684200108206],[-93.62387524920574,41.629881861687565],[-93.62632975764842,41.631636915007185],[-93.62934254522531,41.63280961707822],[-93.63267373148516,41.63330658739621],[-93.63334099102518,41.633320419441134]]]}"
00000000000000000452,deio,0.7702733505713313,DEIO08,1107,"{""type"":""Polygon"",""coordinates"":[[[-93.61508989041343,41.6218872843401],[-93.61845221856802,41.62152908049494],[-93.62154680066735,41.620482993375845],[-93.62412723594288,41.618832322131595],[-93.62598810489845,41.616708500472214],[-93.6269813259501,41.61428062197117],[-93.62702792910054,41.61174196855437],[-93.62612431372635,41.60929461814827],[-93.62434250117583,41.607133358934675],[-93.6218243726851,41.60543019074089],[-93.6187703603724,41.60432064521392],[-93.61542349625711,41.60389301014833],[-93.61205008792788,41.60418131176746],[-93.60891855252089,41.60516261045491],[-93.60627808382901,41.60675882388125],[-93.6043388403188,41.60884293329838],[-93.60325522365274,41.61124908180415],[-93.60311357651437,41.613785764630016],[-93.60392528265984,41.61625106522427],[-93.60562582686941,41.61844872674253],[-93.6080799002046,41.62020377999174],[-93.61109215361071,41.621376482005026],[-93.61442274919273,41.621873452295944],[-93.61508989041343,41.6218872843401]]]}"
00000000000000000453,deio,0.8248177911585561,DEIO09,1108,"{""type"":""Polygon"",""coordinates"":[[[-93.62207730176418,41.61437815816609],[-93.62543923845786,41.61401995433387],[-93.62853346029641,41.612973867249515],[-93.63111359521541,41.611323196051],[-93.63297424763353,41.60919937443404],[-93.63396735318659,41.606771495958874],[-93.63401395103661,41.60423284254335],[-93.63311044094063,41.60178549211351],[-93.63132883583124,41.599624232858574],[-93.62881100041359,41.59792106461875],[-93.62575734348151,41.596811519055414],[-93.62241086879168,41.59638388397445],[-93.61903785297358,41.596672185604035],[-93.61590668195983,41.597653484324475],[-93.61326652056671,41.59924969779604],[-93.61132750280845,41.60133380725655],[-93.61024401236331,41.603739955790324],[-93.61010238183462,41.60627663862004],[-93.61091399361509,41.60874193919281],[-93.6126143399597,41.61093960067095],[-93.6150681276593,41.61269465387393],[-93.61808003039768,41.613867355849294],[-93.6214102382167,41.614364326122455],[-93.62207730176418,41.61437815816609]]]}"
00000000000000000454,deio,0.8441121614362935,DEIO10,1109,"{""type"":""Polygon"",""coordinates"":[[[-93.63867853498616,41.60780098411227],[-93.64204012892516,41.60744278029135],[-93.64513403532717,41.60639669323743],[-93.64771390726054,41.604746022078956],[-93.64957437008316,41.60262220049915],[-93.65056737450816,41.60019432204664],[-93.65061396771722,41.597655668632235],[-93.64971054980055,41.595208318181605],[-93.64792912632208,41.59304705889047],[-93.6454115475129,41.59134389061033],[-93.64235820174439,41.59023434501514],[-93.63901206802707,41.58980670992073],[-93.63563939588317,41.59009501155945],[-93.63250854392427,41.591076310308786],[-93.62986865159527,41.59267252381997],[-93.62792983150055,41.59475663331847],[-93.62684645157168,41.59716278187674],[-93.62670483558607,41.59969946470984],[-93.62751636474256,41.60216476526381],[-93.6292165378409,41.60436242670682],[-93.63167007544419,41.606117479869305],[-93.63468167114551,41.607290181811464],[-93.63801153944767,41.60778715206907],[-93.63867853498616,41.60780098411227]]]}"
00000000000000000455,deio,0.6610142013546333,DEIO11,1110,"{""type"":""Polygon"",""coordinates"":[[[-93.63012152006459,41.581184609924236],[-93.63348172811634,41.580826406149114],[-93.63657435908871,41.57978031921828],[-93.63915316767125,41.57812964822174],[-93.64101286388724,41.57600582679219],[-93.64200545941297,41.57357794843138],[-93.64205203385684,41.571039295021464],[-93.64114898865603,41.56859194448675],[-93.63936829958041,41.566430685049205],[-93.63685175833668,41.564727516606006],[-93.6337996707207,41.56361797088198],[-93.63045491568475,41.56319033573315],[-93.62708363314638,41.563478637408856],[-93.62395407124741,41.564459936275014],[-93.62131526684689,41.566056149946455],[-93.6193772459808,41.56814025959862],[-93.61829431291119,41.570546408256014],[-93.61815275572862,41.57308309110278],[-93.618963950805,41.575548391580654],[-93.6206634234028,41.57774605288159],[-93.62311594977176,41.579501105880325],[-93.62612630400564,41.58067380768817],[-93.62945479951226,41.581170777882846],[-93.63012152006459,41.581184609924236]]]}"
00000000000000000456,deio,0.7494037507933061,DEIO12,1111,"{""type"":""Polygon"",""coordinates"":[[[-93.60997976060618,41.58633933074202],[-93.61334023691309,41.58598112695803],[-93.61643311476024,41.584935040003366],[-93.61901212916713,41.58328436897547],[-93.62087197376907,41.58116054751684],[-93.6218646484422,41.57873266913827],[-93.6219112265183,41.57619401572749],[-93.62100810917387,41.57374666520905],[-93.61922727794574,41.57158540579985],[-93.61671053586869,41.56988223738823],[-93.61365820472213,41.56877269168914],[-93.61031318282578,41.56834505655084],[-93.60694163131252,41.56863335821939],[-93.60381181970689,41.56961465706293],[-93.6011728047247,41.57121087070334],[-93.59923462915827,41.573294980325755],[-93.59815160959369,41.57570112896397],[-93.59801004102908,41.57823781180809],[-93.59882130077072,41.5807031123007],[-93.60052090895883,41.582900773629135],[-93.60297363106439,41.584655826659564],[-93.60598422559923,41.58582852849342],[-93.60931298682696,41.586325498700276],[-93.60997976060618,41.58633933074202]]]}"
00000000000000000457,deio,0.6960803416472127,DEIO13,1112,"{""type"":""Polygon"",""coordinates"":[[[-93.60812477456794,41.57680131358871],[-93.61148475456505,41.57644310982112],[-93.61457717565916,41.575397022910536],[-93.61715580926203,41.573746351940656],[-93.61901537932906,41.571622530535855],[-93.62000790756838,41.56919465219013],[-93.62005447892433,41.56665599878096],[-93.61915149505577,41.564208648232395],[-93.61737092682979,41.56204738877076],[-93.6148545563226,41.56034422030071],[-93.61180267574188,41.55923467455548],[-93.60845814757482,41.55880703939769],[-93.60508709370298,41.55909534107947],[-93.6019577440898,41.560076639964876],[-93.59931911871332,41.56167285366269],[-93.59738122936426,41.56375696334015],[-93.59629836982755,41.566163112013875],[-93.5961568223213,41.56869979486288],[-93.59696796242315,41.571165095328226],[-93.59866731975008,41.573362756605775],[-93.6011196797154,41.57511780957755],[-93.60412982965964,41.5762905113633],[-93.60745809926594,41.57678748154761],[-93.60812477456794,41.57680131358871]]]}"
00000000000000000458,deio,0.6519742808676804,DEIO14,1113,"{""type"":""Polygon"",""coordinates"":[[[-93.58851810723594,41.577893793346796],[-93.59187814406798,41.57753558957734],[-93.59497061746715,41.57648950266171],[-93.59754929467782,41.574838831685184],[-93.59940889618322,41.5727150102742],[-93.60040144119141,41.57028713192472],[-93.60044801331692,41.56774847851536],[-93.59954501416337,41.56530112797026],[-93.59776441581968,41.563139868514625],[-93.59524800276216,41.561436700051274],[-93.59219607058492,41.560327154311324],[-93.58885148587844,41.55989951915577],[-93.58548037501916,41.560187820836035],[-93.58235097250092,41.56116911971664],[-93.57971230250872,41.56276533340788],[-93.57777438038349,41.564849443079034],[-93.57669150252119,41.56725559174868],[-93.57654995260344,41.56979227459714],[-93.57736110640583,41.57225757506561],[-93.57906049246014,41.574455236348975],[-93.58151289389595,41.57621028932748],[-93.5845230947525,41.57738299111873],[-93.58785142065683,41.577879961305634],[-93.58851810723594,41.577893793346796]]]}"
00000000000000000459,deio,0.6123540335313018,DEIO15,1114,"{""type"":""Polygon"",""coordinates"":[[[-93.56676661229724,41.579802288597676],[-93.57012674842395,41.579444084824935],[-93.57321931320384,41.57839799790048],[-93.57579806660038,41.57674732691235],[-93.57765772303087,41.57462350549061],[-93.57865029733547,41.572195627134555],[-93.57869687080547,41.56965697372487],[-93.57779384494795,41.567209623185796],[-93.57601319398648,41.565048363740644],[-93.57349670659052,41.56334519528898],[-93.57044468427038,41.56223564955827],[-93.5671000007855,41.56180801440661],[-93.56372879036515,41.56209631608423],[-93.56059929541794,41.56307761495646],[-93.55796054747894,41.56467382863622],[-93.55602256809135,41.56675793829636],[-93.55493965821293,41.56916408695891],[-93.55479810408212,41.571700769806384],[-93.55560928182037,41.57416607028031],[-93.55730871806345,41.576363731573856],[-93.55976119195118,41.57811878456409],[-93.56277148175514,41.57929148636497],[-93.56609990601618,41.57978845655637],[-93.56676661229724,41.579802288597676]]]}"
0000000000000000045a,deio,0.6356632049212197,DEIO16,1115,"{""type"":""Polygon"",""coordinates"":[[[-93.56566521433703,41.56692886385638],[-93.5690246808746,41.56657066010576],[-93.57211662943276,41.56552457324081],[-93.57469486907308,41.563873902330954],[-93.57655415511877,41.56175008098184],[-93.57754653186433,41.55932220267009],[-93.5775930962679,41.55678354926259],[-93.5766902504874,41.55433619868287],[-93.57490995435148,41.55217493916696],[-93.57239396825356,41.550471770636484],[-93.56934255380786,41.549362224843485],[-93.56599853643068,41.548934589665535],[-93.56262799739605,41.54922289136102],[-93.55949912573926,41.550204190289726],[-93.55686090343116,41.551800404046936],[-93.55492331018958,41.55388451378135],[-93.55384061621046,41.55629066249182],[-93.5536990904902,41.5588273453459],[-93.55451010681811,41.56129264578305],[-93.55620920461547,41.56349030700792],[-93.55866118992695,41.565245359919004],[-93.56167087991797,41.56641806165497],[-93.56499864091509,41.566915031815945],[-93.56566521433703,41.56692886385638]]]}"
0000000000000000045b,deio,0.613578508236205,DEIO17,1116,"{""type"":""Polygon"",""coordinates"":[[[-93.56838080687858,41.55169211555675],[-93.5717394814666,41.55133391183232],[-93.57483070119493,41.55028782503774],[-93.57740833319542,41.54863715422049],[-93.57926718117236,41.54651333295731],[-93.58025932425696,41.54408545469799],[-93.58030587793728,41.54154680129306],[-93.57940324514097,41.53909945066526],[-93.57762336867121,41.53693819106562],[-93.57510797547839,41.535235022441896],[-93.57205727998982,41.53412547657523],[-93.56871405044468,41.53369784136616],[-93.56534430548454,41.5339861430828],[-93.56221617101805,41.53496744207832],[-93.55957857039442,41.53656365592715],[-93.55764143386301,41.53864776574944],[-93.55655899523649,41.541053914516596],[-93.55641750311845,41.54359059737849],[-93.55722832853998,41.54605589777213],[-93.55892702604415,41.548253558915754],[-93.56137843349718,41.55000861173318],[-93.56438741406568,41.551181313392355],[-93.56771439059436,41.551678283517354],[-93.56838080687858,41.55169211555675]]]}"
0000000000000000045c,deio,0.6226700737533799,DEIO18,1117,"{""type"":""Polygon"",""coordinates"":[[[-93.55346065475376,41.55437649439093],[-93.55681946882147,41.55401829066189],[-93.55991081691275,41.552972203854914],[-93.56248855593195,41.55132153302135],[-93.56434748106241,41.54919771174303],[-93.56533966529985,41.546769833474485],[-93.56538622086876,41.5442311800691],[-93.56448355056126,41.54178382944976],[-93.56270360017909,41.53962256986488],[-93.56018810256266,41.537919401257575],[-93.55713728044995,41.53680985540389],[-93.5537939121503,41.5363822202003],[-93.55042402733619,41.5366705219132],[-93.5472957630343,41.53765182089696],[-93.54465805291838,41.53924803472966],[-93.54272083595029,41.54133214453646],[-93.54163835235056,41.543738293293636],[-93.54149685431445,41.54627497615415],[-93.54230771335878,41.548740276555456],[-93.54400648136337,41.550937937713385],[-93.54645799058996,41.55269299054732],[-93.54946709610333,41.553865692220015],[-93.55279421079413,41.55436266235135],[-93.55346065475376,41.55437649439093]]]}"
0000000000000000045d,deio,0.5315655280310327,DEIO19,1118,"{""type"":""Polygon"",""coordinates"":[[[-93.54471635758794,41.5683825307998],[-93.54807589971365,41.568024327046686],[-93.55116791783544,41.566978240175004],[-93.55374621547233,41.565327569256326],[-93.55560554332979,41.56320374789901],[-93.55659794237725,41.56077586958226],[-93.55664450780431,41.55823721617451],[-93.5557416416954,41.55578986559937],[-93.55396130550417,41.55362860609146],[-93.55144526281605,41.55192543756988],[-93.548393779749,41.55081589178391],[-93.54504968717671,41.55038825660893],[-93.54167907235113,41.5506765583024],[-93.53855013033274,41.551657857224725],[-93.53591184868756,41.55325407097319],[-93.53397421185498,41.55533818069923],[-93.53289149350357,41.55774432940427],[-93.53274996457611,41.560281012257605],[-93.53356099912521,41.56274631269891],[-93.53526013512881,41.564943973931534],[-93.53771217559438,41.56669902685156],[-93.54072193329667,41.56787172859485],[-93.54404976916788,41.56836869875927],[-93.54471635758794,41.5683825307998]]]}"
0000000000000000045e,deio,0.5405090819692137,DEIO20,1119,"{""type"":""Polygon"",""coordinates"":[[[-93.51919692225907,41.554987391235244],[-93.52255576807148,41.554629187505164],[-93.52564714537735,41.55358310069536],[-93.52822490875336,41.5519324298581],[-93.53008385144348,41.54980860857632],[-93.53107604504703,41.54738073030567],[-93.53112260104578,41.54484207690019],[-93.53021992220097,41.54239472628277],[-93.52843995499678,41.540233466701245],[-93.52592443361421,41.538530298097676],[-93.52287358268262,41.537420752246945],[-93.51953018280332,41.53699311704461],[-93.51616026615935,41.53728141875666],[-93.51303197230772,41.53826271773773],[-93.51039423727204,41.53985893156677],[-93.50845700199706,41.541943041370054],[-93.5073745081617,41.54434919012495],[-93.50723300877868,41.54688587298515],[-93.50804387547535,41.549351173388196],[-93.5097426595254,41.55154883454939],[-93.51219419191503,41.55330388738707],[-93.51520332586506,41.55447658906285],[-93.5185304720007,41.55497355919562],[-93.51919692225907,41.554987391235244]]]}"
0000000000000000045f,deio,0.5645595559422275,DEIO21,1120,"{""type"":""Polygon"",""coordinates"":[[[-93.50547626831762,41.55946432869291],[-93.50883534680004,41.55910612495513],[-93.51192693823172,41.55806003812465],[-93.51450488012864,41.55640936726017],[-93.51636395152073,41.55428554595316],[-93.51735621377246,41.55185766766709],[-93.51740277292164,41.54931901426086],[-93.51650003150337,41.546871663657576],[-93.51471994100379,41.54471040410065],[-93.51220424542927,41.54300723552448],[-93.5091531832724,41.541897689695396],[-93.50580955193278,41.5414700545022],[-93.50243940199451,41.54175835620804],[-93.49931089156081,41.542739655169484],[-93.49667297387799,41.5443358689716],[-93.4947356044243,41.54641997874906],[-93.49365303556792,41.548826127487295],[-93.49351152631276,41.5513628103452],[-93.49432244909657,41.55382811076104],[-93.49602135075035,41.55602577194609],[-93.4984730529113,41.5577808248113],[-93.50148239528541,41.55895352650964],[-93.50480977189314,41.559450496652985],[-93.50547626831762,41.55946432869291]]]}"
00000000000000000460,deio,0.4697154505746016,DEIO22,1121,"{""type"":""Polygon"",""coordinates"":[[[-93.50182426455484,41.56875709528829],[-93.50518382615815,41.568398891534535],[-93.50827586220514,41.56735280466113],[-93.51085417478663,41.56570213374017],[-93.51271351341816,41.563578312380734],[-93.5137059182124,41.561150434062704],[-93.51375248390319,41.558611780654886],[-93.51284961255604,41.55616443008093],[-93.51106926604332,41.55400317057507],[-93.50855320877301,41.55230000205579],[-93.50550170802357,41.551190456271634],[-93.50215759607495,41.550762821097415],[-93.4987869617195,41.55105112279036],[-93.4956580015703,41.55203242171106],[-93.49301970463512,41.553628635457265],[-93.49108205656998,41.555712745181125],[-93.48999933193828,41.558118893884796],[-93.4898578021844,41.560655576737936],[-93.49066884142874,41.5631208771803],[-93.49236798727736,41.56531853841493],[-93.49482004195505,41.56707359133725],[-93.49782981710526,41.56824629308243],[-93.50115767227007,41.56874326324775],[-93.50182426455484,41.56875709528829]]]}"
00000000000000000461,deio,0.4653991116021208,DEIO23,1122,"{""type"":""Polygon"",""coordinates"":[[[-93.47857451166217,41.55561612448379],[-93.48193339014718,41.55525792075262],[-93.48502479752158,41.55421183393992],[-93.4876025859663,41.55256116309882],[-93.48946154672934,41.550437341813506],[-93.49045374997279,41.5480094635407],[-93.49050030641394,41.5454708101351],[-93.48959761878228,41.54302345951968],[-93.48781763426439,41.5408621999416],[-93.48530208842097,41.53915903134189],[-93.48225120782817,41.53804948549419],[-93.47890777544616,41.537621850293135],[-93.47553782604191,41.53791015200433],[-93.47240950177687,41.53889145098264],[-93.46977174109303,41.54048766480789],[-93.46783448697607,41.54257177460754],[-93.46675198260593,41.5449779233601],[-93.46661048183661,41.54751460621998],[-93.46742135640929,41.54997990662482],[-93.46912015697379,41.552177567789364],[-93.47157171320346,41.55393262063092],[-93.47458087642137,41.55510532230986],[-93.47790805492095,41.55560229244413],[-93.47857451166217,41.55561612448379]]]}"
00000000000000000462,deio,0.46391284400529237,DEIO24,1123,"{""type"":""Polygon"",""coordinates"":[[[-93.45848180231535,41.54686736821692],[-93.46184022625826,41.54650916450078],[-93.46493121531833,41.545463077728485],[-93.46750865500613,41.54381240694056],[-93.46936736433813,41.54168858570456],[-93.47035943347107,41.53926070746184],[-93.47040598375756,41.536722054057726],[-93.4695034183689,41.5342747034147],[-93.4677236747198,41.532113443788575],[-93.46520846917626,41.530410275135324],[-93.46215800123136,41.529300729245335],[-93.45881502102817,41.528873094026416],[-93.45544552738569,41.52916139574974],[-93.45231762623347,41.53014269476642],[-93.44968022236755,41.531738908644265],[-93.44774323038091,41.53382301849437],[-93.44666087257123,41.53622916727946],[-93.44651939108803,41.53876585014382],[-93.44733015608932,41.54123115052369],[-93.44902872690419,41.5434288116416],[-93.45147995147008,41.54518386442939],[-93.45448870751255,41.54635656606424],[-93.45781543576383,41.546853536177856],[-93.45848180231535,41.54686736821692]]]}"
