unique_id,city,site,lat,lon
107,autx,AUTX_GVP,30.2604013268003,-97.6890404027066
108,autx,AUTX_MFBCP,30.281749987382,-97.7645797752723
109,autx,AUTX_PLC,30.277643561518,-97.6895292581305
110,autx,AUTX_RNP,30.3046493530273,-97.7713241577148
111,autx,AUTX_SONP,30.1601934211726,-97.8652434577924
112,autx,AUTX_TNP,30.29651,-97.76015
113,autx,AUTX_WBCG,30.2564068721036,-97.7584316093468
114,autx,OSA,30.1319163406892,-97.8164856394102
115,baar,BAR01,-41.0687,-71.165265
116,baar,BAR02,-41.086661,-71.182046
117,baar,BAR03,-41.103049,-71.164578
118,baar,BAR04,-41.103229999999996,-71.19098
119,baar,BAR05,-41.1109,-71.22064
120,baar,BAR06,-41.1264,-71.23132
121,baar,BAR07,-41.15844,-71.27044
122,baar,BAR08,-41.14189,-71.25586
123,baar,BAR09,-41.15844,-71.25074
124,baar,BAR10,-41.15854,-71.28876
125,baar,BAR11,-41.18503,-71.35069
126,baar,BAR12,-41.1328,-71.29241
127,baar,BAR13,-41.14417,-71.31539
128,baar,BAR14,-41.16806,-71.30943
129,baar,BAR15,-41.14698,-71.3516
130,baar,BAR16,-41.17291,-71.33358
131,baar,BAR17,-41.12808,-71.36862
132,baar,BAR18,-41.12542,-71.38499
133,baar,BAR19,-41.12179,-71.40535
134,baar,BAR20,-41.16871,-71.36271
135,baar,BAR21,-41.16411,-71.41677
136,baar,BAR22,-41.14224,-71.41001
137,baar,BAR23,-41.08032,-71.43776
138,baar,BAR24,-41.16354,-71.44028
139,baar,BAR25,-41.1301,-71.42574
140,baar,BAR26,-41.11017,-71.43555
141,baar,BAR27,-41.110652,-71.462822
142,baar,BAR28,-41.09524,-71.45963
143,baar,BAR30,-41.07786,-71.56558
144,baar,BAR31,-41.06826,-71.49899
145,baar,BAR33,-41.08595,-71.53249
146,baar,BAR34,-41.05315,-71.5168
147,baar,BAR35,-41.04539,-71.5429
148,bege,1059,52.48626869888584,13.610816900020726
149,bege,1060,52.44478779888604,13.421862700023508
150,bege,1061,52.449666598886026,13.369620300024279
151,bege,1062,52.48742999888587,13.581730000021162
152,bege,1063,52.4202797988861,13.335856200024757
153,bege,1064,52.534415798886,13.186747200027106
154,bege,1067,52.398815098886125,13.39734990002382
155,bege,1071,52.480502398885925,13.534534200021863
156,bege,1072,52.49882999888607,13.182850000027122
157,bege,1074,52.43702999888595,13.687200000019551
158,bege,1076,52.52064089888589,13.459219900023024
159,bege,1077,52.56846379888588,13.299566800025463
160,bege,1078,52.62825109888581,13.272629100025934
161,bege,1081,52.42440469888597,13.561887300021404
162,bege,1082,52.5959485988858,13.314915800025267
163,bege,1083,52.617952798885824,13.237093200026463
164,bege,1088,52.48356999888594,13.514710000022163
165,bege,1090,52.55751309888584,13.41023420002379
166,bege,1091,52.559811398885905,13.199268900026949
167,bege,1092,52.50230919888586,13.576732600021256
168,bege,1093,52.46334329888605,13.381459500024125
169,bege,1094,52.42620999888615,13.188860000026942
170,bege,1095,52.4606452988861,13.319037400025053
171,bege,1096,52.4142799988862,13.145420000027572
172,bege,1097,52.557411798885866,13.242260000026318
173,bege,1098,52.62693999888576,13.300379900025527
174,bege,1099,52.475676498885996,13.425861100023479
175,bege,1100,52.41938869888611,13.408670100023675
176,bege,1101,52.5729887988858,13.51366940002226
177,bege,1102,52.4478216988861,13.259498800025927
178,bege,1103,52.60056219888578,13.455304500023168
179,bege,1104,52.48357249888603,13.177009200027193
180,bege,1106,52.488879998885906,13.563850100021428
181,bege,1108,52.60349999888576,13.297400100025538
182,bege,1110,52.591729998885775,13.393720000024082
183,bege,1111,52.48629109888594,13.529465600021945
184,bege,1114,52.450569998886,13.455100000023014
185,bege,1116,52.56505999888584,13.442890000023318
186,bege,1117,52.44188989888612,13.244248800026135
187,bege,1122,52.52879049888592,13.281609300025686
188,bege,1123,52.43332999888601,13.44336000002317
189,bege,1124,52.52190999888593,13.34587000002472
190,bege,1125,52.43657839888595,13.584365600021071
191,bege,1127,52.460029998885965,13.590680100021007
192,bege,1128,52.478459998886045,13.298530100025374
193,bege,1129,52.515529998886,13.17944000002719
194,bege,1130,52.40349409888605,13.487360500022485
195,bege,1133,52.43917399888605,13.308722600025176
196,bege,1136,52.42460999888608,13.365909900024308
197,bege,1140,52.40753999888613,13.410940000023626
198,bege,1142,52.57241599888584,13.270314800025906
199,bege,1144,52.422060498885926,13.677676500019679
200,bege,1147,52.47303529888594,13.469686300022817
201,bege,1148,52.604079998885695,13.483190000022757
202,bege,1150,52.54377869888597,13.208962300026796
203,bege,1151,52.452215298886046,13.419496000023539
204,bege,1153,52.525755498885985,13.154606000027586
205,bege,1158,52.53255159888593,13.203213400026858
206,bege,1161,52.610342498885764,13.34164800002488
207,bege,1163,52.49875079888594,13.489890900022539
208,bege,1164,52.568429998885804,13.35781000002459
209,bege,1165,52.55803439888587,13.396549300023999
210,bege,1166,52.63255879888567,13.477575800022873
211,bege,1167,52.53719369888587,13.46699050002292
212,bege,1168,52.588019998885734,13.532480000022003
213,bege,1170,52.537889998885994,13.153980000027603
214,bege,1171,52.53947819888587,13.306061100025339
215,bege,1175,52.520170398885824,13.490237000022558
216,bege,1176,52.43522879888603,13.338374000024734
217,bege,1177,52.423383698886035,13.406203200023715
218,bege,1178,52.50269369888585,13.495678100022468
219,bege,1179,52.418399998885995,13.547460000021607
220,bege,1180,52.54084519888599,13.126749600028022
221,bege,1181,52.432961498886016,13.512479400022135
222,bege,1184,52.411727198885984,13.587387100021
223,bege,1185,52.424249998886175,13.188970000026938
224,bege,1187,52.588089998885756,13.431640000023506
225,bege,1190,52.448485298886055,13.297094700025369
226,bege,1191,52.47784999888589,13.568960000021345
227,bege,1192,52.59027999888583,13.22258000002664
228,bege,1193,52.57949439888585,13.373603300024369
229,bege,1198,52.42172069888612,13.206914500026677
230,bege,1199,52.5830307988859,13.233319700026467
231,bege,1200,52.4147299988861,13.27761000002561
232,bege,1201,52.50566029888592,13.42203980002356
233,bege,1206,52.37949749888611,13.620196700020482
234,bege,1209,52.431719998886116,13.221980000026464
235,bege,1210,52.430959998886166,13.225400100026413
236,bege,1215,52.532709998885835,13.499440000022435
237,bege,1216,52.509056998885846,13.61128450002075
238,bege,1217,52.502478898885876,13.618460300020633
239,bege,1221,52.54492289888598,13.169600300027378
240,bege,1222,52.52623749888595,13.167016100027395
241,bege,1225,52.6196826988858,13.23026710002657
242,bege,1226,52.45476609888609,13.256851700025964
243,bege,1229,52.57213039888583,13.282205800025734
244,bege,1231,52.59697999888586,13.301770000025458
245,bege,1232,52.53942999888589,13.311000000025263
246,bege,1234,52.41595629888607,13.316637400025039
247,bege,1236,52.58354979888585,13.338772100024896
248,bege,1237,52.55633999888591,13.33167000002497
249,bege,1238,52.46889239888606,13.324386900024974
250,bege,1239,52.45557469888601,13.32996840002488
251,bege,1242,52.597857498885766,13.342428200024862
252,bege,1243,52.584819998885756,13.370840000024414
253,bege,1244,52.55878999888585,13.36351000002449
254,bege,1246,52.577339998885854,13.379310000024274
255,bege,1247,52.44957999888605,13.387499900024023
256,bege,1248,52.43441999888607,13.396960000023864
257,bege,1249,52.41017999888608,13.39907400002381
258,bege,1250,52.399081598886134,13.397599000023812
259,bege,1254,52.440930298886066,13.419810200023528
260,bege,1255,52.41214999888606,13.41335000002359
261,bege,1256,52.596764298885724,13.44800140002327
262,bege,1258,52.45044599888596,13.451121500023072
263,bege,1259,52.42865999888601,13.446620000023117
264,bege,1260,52.42143849888606,13.45202050002302
265,bege,1263,52.46561999888596,13.46633000002286
266,bege,1264,52.39940639888608,13.492171500022401
267,bege,1265,52.51183599888583,13.518112900022144
268,bege,1269,52.50338439888586,13.569194300021369
269,bege,1270,52.44459999888601,13.555970000021503
270,bege,1271,52.49887999888588,13.584200000021141
271,bege,1273,52.49392999888589,13.616279900020658
272,bege,1274,52.52300999888582,13.638890000020345
273,bege,1276,52.486631898885896,13.532647500021897
274,bege,1284,52.517818398885986,13.277979800025724
275,bege,1285,52.43360019888605,13.33509420002479
276,bege,1286,52.515999298885895,13.459806800023005
277,bege,1342,52.45226999888614,13.13066000002785
278,bege,1344,52.42294999888619,13.154630000027446
279,bege,1345,52.43006369888613,13.21380000002659
280,bege,1347,52.508420898885994,13.185939500027091
281,bege,1348,52.51065999888601,13.177710000027211
282,bege,1360,52.449604198886036,13.25838980002595
283,bege,1361,52.435621598886115,13.237060600026235
284,bege,1364,52.51626789888598,13.264389300025933
285,bege,1369,52.43746999888606,13.267160000025806
