city,site,lat,lon,start,end,date,sp,ndets
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-10,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-18,european_hare,1
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-23,european_hare,5
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-23,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-24,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2022-10-04,2022-11-02,2022-10-28,european_hare,1
frge,1,48.039208499156715,7.849525673343904,2023-10-04,2023-11-02,2023-10-19,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2023-10-04,2023-11-02,2023-10-23,roe_deer,3
frge,1,48.039208499156715,7.849525673343904,2023-10-04,2023-11-02,2023-10-24,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2023-10-04,2023-11-02,2023-11-01,roe_deer,8
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-11,wild_boar,3
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-17,wild_boar,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-24,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-25,wild_boar,2
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-26,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-26,wild_boar,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-10-29,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-11-02,wild_boar,2
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-11-03,wild_boar,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-11-05,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2024-10-09,2024-11-09,2024-11-05,wild_boar,1
frge,1,48.039208499156715,7.849525673343904,2022-03-31,2022-04-29,2022-03-31,european_hare,1
frge,1,48.039208499156715,7.849525673343904,2023-04-12,2023-05-11,2023-04-16,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2023-04-12,2023-05-11,2023-04-19,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-03-30,red_fox,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-03,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-04,roe_deer,13
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-05,roe_deer,14
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-12,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-13,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-16,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-17,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-18,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-20,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-22,roe_deer,4
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-24,roe_deer,3
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-25,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-26,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-27,roe_deer,1
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-28,roe_deer,2
frge,1,48.039208499156715,7.849525673343904,2024-03-28,2024-05-02,2024-04-29,roe_deer,3
frge,1,48.039208499156715,7.849525673343904,2022-06-28,2022-07-27,2022-07-19,roe_deer,4
